+----------------------+---------+---------+---------+---------+---------+---------+
| Name, Surname        | COMP    | ATT     | YDS     | TD      | INT     | PR      |
+----------------------+---------+---------+---------+---------+---------+---------+
| Bryce Petty          | 130     | 245     | 1353    | 4       | 10      | 57.70   |
| Jimmy Garoppolo      | 960     | 1418    | 11852   | 71      | 38      | 98.90   |
| Matt Moore           | 645     | 1074    | 7597    | 49      | 36      | 82.80   |
| AJ McCarron          | 109     | 174     | 1173    | 6       | 3       | 86.70   |
| Ryan Mallett         | 190     | 345     | 1835    | 9       | 10      | 66.80   |
| Landry Jones         | 108     | 169     | 1310    | 8       | 7       | 86.20   |
| Robert Griffin III   | 799     | 1268    | 9271    | 43      | 30      | 86.50   |
| Alex Tanney          | 11      | 15      | 100     | 1       | 0       | 113.20  |
| Tom Savage           | 181     | 315     | 2000    | 5       | 7       | 72.50   |
| Scott Tolzien        | 88      | 146     | 1065    | 2       | 9       | 61.60   |
| Mark Sanchez         | 1314    | 2320    | 15357   | 86      | 89      | 73.20   |
| Kellen Clemens       | 350     | 638     | 4053    | 16      | 21      | 68.90   |
| Ryan Nassib          | 9       | 10      | 128     | 1       | 0       | 163.70  |
| Teddy Bridgewater    | 1323    | 1988    | 14437   | 71      | 43      | 90.70   |
| Brian Hoyer          | 897     | 1512    | 10631   | 53      | 35      | 82.90   |
| Matt Schaub          | 2148    | 3348    | 25467   | 136     | 91      | 89.50   |
| Derek Anderson       | 909     | 1674    | 10878   | 60      | 64      | 70.40   |
| Luke McCown          | 216     | 356     | 2370    | 9       | 15      | 71.30   |
| Matt Barkley         | 212     | 363     | 2699    | 11      | 22      | 66.60   |
| Thad Lewis           | 115     | 189     | 1296    | 5       | 4       | 81.40   |
| Sean Mannion         | 67      | 110     | 573     | 1       | 3       | 66.20   |
+----------------------+---------+---------+---------+---------+---------+---------+
